"FSC-A", "FSC-H", "FSC-W", "SSC-A", "SSC-H", "SSC-W", "BB515-A", "APC-A", "Time", "Event #"
61026.9,31847.6,135524,81007.4,48542,117805,247.752,619.621,0.953599,95
53549.9,31200.2,122158,38771.8,28485.6,100531,125.443,417.687,0.955064,96
43794.7,25592.5,127940,71508.8,47999.1,111827,198.792,484.432,0.965669,98
21222.4,11752.4,115379,55645.3,40052,103792,100.594,361.939,0.981807,100
34713.9,19610,120332,39257.3,29689.4,98188.2,111.523,254.78,0.987167,101
55224,31418.4,122175,44334.4,30615.4,100352,129.786,326.014,0.987272,102
23370.7,12863.5,111735,56722.3,41527.4,102958,121.039,589.563,0.992581,104
71615.7,41486.7,127585,54865.3,38141.1,104699,156.747,488.148,0.99589,105
61477.8,31836.1,131641,73807,54075.5,111059,176.234,381.465,1.00029,106
46884.7,28140.6,119721,37256.7,29267.2,95235.5,67.4996,292.468,1.01025,107
58274.6,33447.1,124999,47523.7,33830.7,104594,116.109,337.441,1.01775,108
65812.4,34630.6,135548,73173.1,45428.4,117055,181.28,616.709,1.02078,109
35329.1,20810.2,114565,49010.6,38561.6,97702,66.1529,301.168,1.02737,111
46434.6,26736.4,123527,42071.4,30935.3,101459,60.8732,257.509,1.02833,113
28313.2,15780,117238,43849.5,29819.9,104399,153.924,380.892,1.03185,114
67411.1,36162.3,126825,53145.8,40396.6,104060,206.442,300.373,1.04604,115
48506.9,26916.3,121663,46310,35510.4,100155,118.661,1882.48,1.04741,116
44958.5,25171.4,120435,54222,42337.9,100934,65.5568,389.17,1.05163,117
56664.5,28310.3,131975,71388.3,51538.6,111482,183.458,519.931,1.0855,119
74900.1,41574.8,132234,65204.8,41703.1,111404,177.955,508.755,1.10332,122
44892.3,24954.9,125547,61110.5,43622.4,107883,204.217,448.49,1.11754,123
66885.9,37074.1,127116,54479,39895.1,107420,118.139,395.043,1.15355,124
58656.2,29539.7,136248,71110.4,40995.7,116486,193.705,392.133,1.15485,125
43403.6,27240.9,113710,44046.1,37537.4,93047.2,158.071,623.116,1.15839,126
78938.4,39314.5,141023,77086.7,51475.5,118260,198.621,641.966,1.15884,128
61328,33809.5,126981,58417.5,44624.4,104674,207.184,1028.98,1.16723,129
73030.5,39469.2,133686,75179.2,48711.5,115273,194.62,992.971,1.17246,130
36347,20877.3,116541,46782.4,37385.3,97442,120.923,357.594,1.18478,131
44897.9,24517.4,124217,64635.4,48851.9,107306,112.278,675.06,1.19036,133
60834,34539.7,128636,52437.1,36293.5,104611,104.201,333.389,1.19668,134
38822,22370.8,126885,80849.8,55364.7,112135,93.3735,569.443,1.20861,136
65624.5,37127.6,127684,50498.8,38157.7,100081,117.385,311.651,1.21618,137
78606.5,41593.1,131510,61586.7,44077.4,108085,180.478,321.477,1.236,139
56684.2,28404.6,128907,73385.8,51276.2,112144,192.504,521.294,1.23609,140
38253.2,21983.9,123989,57914.5,40985.3,107049,204.274,294.857,1.23708,141
77574.9,41239.3,131804,66754.9,44396.4,109359,151.907,459.769,1.2405,142
60449.7,32971,125280,48948.5,39012.3,99592.1,122.894,341.91,1.24516,143
46933.7,26649.5,117920,37157.1,28070.2,96030.8,98.848,223.265,1.2467,144
46401.4,27477.2,117537,36060.1,27204.8,93973.8,-153.044,-4.0242,1.25578,145
51566.5,26860.2,133465,103190,64839.9,120852,-29.3929,1075.94,1.25585,146
42288.9,21636.9,124620,58536.2,42288.1,106678,165.263,439.549,1.2647,147
46303.3,27208.6,118232,35401.3,25887.4,96650.1,190.616,537.521,1.26909,148
50004.3,26302.4,130360,73760.8,47874.3,110763,175.201,531.28,1.28599,150
38764.9,22396.7,128215,63670.3,40873.3,111804,150.293,361.102,1.28805,151
39566.2,23247.7,117083,31848.7,23234.2,93739.3,78.6117,284.497,1.29717,152
49224,29823.8,119289,29979.8,23952.8,93386.9,86.4935,243.797,1.31135,154
48304.9,25034.1,126833,57957.7,44877.1,104436,159.971,248.569,1.31561,155
59615.1,32307.2,123887,58413.3,42537.3,104286,153.406,643.978,1.31895,156
49142.7,28149.3,117786,42286.4,30819.3,98236.8,137.42,492.978,1.32588,157
44100.8,25352,121337,46228.5,36207.1,99785.4,190.558,505.665,1.33998,158
60034.6,31294.2,134356,60459.7,37802.9,111688,201.305,295.016,1.35634,159
38192.1,21784.2,120140,49925.1,39137.9,99783.4,139.558,352.721,1.36412,161
33732.7,17511.3,123997,59223.1,43305.7,106339,158.877,394.887,1.38059,162
51227.8,27959.6,193235,35239.3,21647.2,157895,160.086,255.208,1.38851,163
32634.7,16703.4,123862,68126.6,44293.3,112282,122.894,470.867,1.39637,164
63343.9,33291,128312,52255.6,36387.3,106793,151.389,399.664,1.41253,165
45082.3,27158.2,117519,34862.6,26966.8,95201.4,57.7311,457.772,1.41941,166
47226.2,24884.8,125168,57498,43845.2,103313,79.0207,573.983,1.42591,167
43129.6,25417.7,117316,43581.4,34116.9,99964.5,66.7971,206.107,1.44945,168
39732.2,24236.4,116918,40263.1,29263.3,98300.1,82.1162,184.494,1.46219,170
47505.7,25719.4,126999,73398.2,45184.7,115276,96.6356,251.193,1.46531,171
57085.6,32220.1,123375,52304.4,41050.4,100508,149.947,501.66,1.4655,172
54833.1,32018.6,122077,49185.5,38707.2,98336,145.332,376.305,1.47059,173
64516.9,38668.6,126426,50478.7,39265.5,103641,163.135,409.306,1.49617,175
57985.9,31619.2,125155,38208.1,26764.3,99198,99.3719,353.298,1.50373,176
49524.8,22936.8,136307,101422,66097.6,121425,268.481,334.811,1.50896,178
29230.3,18571.4,114593,41418.2,30536.9,97165.3,87.7186,132.656,1.51283,179
42332.8,23283.3,125259,45207.7,30439.7,103655,117.501,419.702,1.51743,180
54552.5,29164.1,125186,55568.6,42759.7,102697,82.5832,265.578,1.53193,183
42450.2,24903.8,115148,33557.7,25815,92969.4,72.0056,233.596,1.53548,184
50257.1,27219.1,124978,61745.7,43894.6,109774,158.647,334.758,1.53768,185
61853.6,35497.4,123466,44447.5,32988.1,101589,64.9639,484.483,1.54115,186
34611.2,20372.5,117900,52476.2,37039.3,103026,90.1095,283.167,1.54259,187
64854,34515.9,128672,64902.1,48303.4,107255,149.198,356.599,1.55527,189
45721.1,27354.3,120829,49594.1,39874,100154,116.457,346.951,1.55982,190
