"FSC-A", "FSC-H", "FSC-W", "SSC-A", "SSC-H", "SSC-W", "BB515-A", "APC-A", "Time", "Event #"
33598.6,21530.9,120682,45116.9,32867.8,103099,81.2402,239.504,0.00511688,0
44245,24904.5,117867,46072,35427.3,98186,52.8105,264.777,0.0119629,3
29625.8,17277.1,118414,62996.5,43995.2,106588,174.282,342.908,0.0207298,7
40001.1,19519.1,128769,65572.9,41252.9,113441,162.963,1028.92,0.0219367,9
40629.7,20622.9,124820,64965.3,44018.4,110176,160.719,419.237,0.0224796,10
27613.1,14108.1,121448,54289.6,36177.8,109964,143.716,306.466,0.0366906,12
56017.3,31983.5,125599,40648.5,30350.5,100873,38.9982,361.363,0.0468882,13
81349.3,44660,135215,70131.3,48142.3,110610,138.98,444.793,0.0499476,14
55638.3,30035.5,125884,30350.6,23377.3,92980.8,43.4441,313.713,0.058137,16
62899.5,35078.5,124874,55312.5,40749.1,103772,36.9828,349.995,0.0631113,18
57392.9,28441.2,135620,69351.8,46864.1,115160,150.581,375.835,0.0633051,19
64125.6,39378.7,122357,51654.1,44955.1,94042.4,79.7217,242.295,0.0668338,21
41255.5,21599.3,124865,38870.4,29475.8,100200,104.666,406.923,0.0755723,22
51582.6,32681.8,117849,34129,28178.5,89946.1,41.3693,330.757,0.0782755,23
39341,19884.9,127656,70941.2,48825.8,111386,178.815,553.888,0.0795096,24
52522.1,26535.9,129349,78629.5,51663.4,114004,124.979,2105.24,0.0810725,25
52600.1,30724.6,131727,60925.4,37704.7,111796,118.197,312.814,0.0844203,26
57427.9,30037.8,131079,70416.1,48756.9,110357,73.7018,257.081,0.08825,28
40870.4,22174.8,120244,46408.3,33117.2,101007,77.969,376.983,0.092515,29
72886.7,40598.4,128051,55418.1,43583.8,101020,88.1269,381.674,0.0933509,30
56387.1,28497.9,134132,78438.6,53241.6,114634,120.401,402.88,0.0958627,31
21933.8,13947,108893,34028.5,26864.5,93707.7,64.371,482.599,0.0974682,32
55410,28852.4,145489,102648,60837.4,125464,174.11,761.05,0.102289,33
71586.8,35706.5,134488,74099.8,45345.8,113564,185.463,730.869,0.106564,34
56076.4,31341.5,128216,50476.2,34673.5,106725,129.728,527.248,0.112383,37
33967.9,18837.5,116946,37808.1,29246.2,96166.9,75.2804,447.823,0.113075,38
46392.5,24230.6,131712,86412.5,54264.2,120865,206.898,881.194,0.11539,39
40970.6,21395.1,123821,47689.7,36203.6,101847,37.5756,370.668,0.117367,40
52513.2,29913.6,122285,46735,36838.5,97526.2,103.619,550.579,0.118657,41
50431.9,27350.2,127572,64107.1,45291.6,106657,150.466,447.977,0.120818,42
63620.4,34608.2,129069,70032,51817.9,107083,259.68,881.035,0.12452,43
61730.5,31629.6,134934,97743.2,72719.3,112057,122.546,533.244,0.127418,44
51797.4,26350.6,129552,81039.1,56546,112417,137.247,596.005,0.127973,45
27410.8,14412.2,116527,43030.1,30490.5,100575,121.271,229.617,0.128068,46
65380.5,31568.9,139384,57560.3,36138.4,111844,158.129,421.82,0.130738,47
56900.7,30891.4,127014,38579.4,28633.6,98514.5,59.0353,334.6,0.131818,48
61934.2,35080.5,127131,53417,40842.4,103362,105.712,390.73,0.137812,50
48001.3,23805.9,134847,72205.6,40397.6,119641,193.476,365.495,0.141021,51
30332.2,20085.7,131480,77344.6,45470,121308,135.281,511.336,0.144085,53
63634.8,38944.8,123932,55205.5,39519.6,100246,66.3286,814.371,0.144127,54
67477.5,36934.2,127323,61298.1,46419.7,103521,129.149,1307.49,0.150692,55
44537.5,22299.1,129782,58560.6,43611.6,106635,172.962,520.234,0.152054,56
71919.4,37575.4,132076,61983.4,45436.4,104359,-8.64497,312.55,0.152545,57
59977.4,30962.4,135437,61903.6,47499.6,109407,152.253,369.467,0.156008,58
46588,23964.1,132166,54359.3,33150.9,110065,94.0144,268.888,0.156087,59
45916.2,27137,119746,30914.8,22899.5,94235.5,4.26657,476.839,0.156206,60
63341.1,33397.1,136345,94125,67970.6,117234,172.101,1089.71,0.158276,61
60403.4,30591,134426,75373.3,52760.5,115594,74.7543,358.38,0.159021,62
51700.8,30448.2,118570,38161.1,30208.7,93085.5,70.192,219.493,0.1594,63
25052.6,20129,97428.3,37209.7,34151.7,85434.6,129.149,358.432,0.174778,65
55287.2,31129.7,121216,43666.2,34753.8,96149.3,56.0118,323.008,0.178428,66
27489.9,16968.4,116889,47239,32540.3,107808,241.41,331.652,0.183433,67
58627.2,34537.2,128587,49325.2,33221,105835,177.61,432.6,0.196171,69
51949.8,32804.9,120575,48168.3,40388.3,96761.4,161.755,656.527,0.200071,70
31112.3,22249.3,107568,27582.7,24790,80922.6,35.3823,488.148,0.206613,72
34495.2,20671,121198,52229.8,36230.2,104726,138.749,233.488,0.224783,74
52952.2,32496.1,120225,32123.8,24671.9,92722.7,-12.4376,360.788,0.228407,75
65600.8,37084.2,125577,47959.7,36709.3,102994,147.179,550.93,0.228663,76
36528.5,20578.9,128257,64283.2,44402.6,114399,180.879,399.768,0.229659,78
51591.1,28295.8,130785,82146.9,57745.7,109496,175.66,1470.32,0.235032,79
35250.2,16773.8,127528,66199.6,45315.3,110349,220.514,285.029,0.235183,80
41891.6,22253.4,119776,41773,31746.9,96998.2,40.8358,192.955,0.238648,81
28690.9,15227.4,121221,49387.9,33444.9,105062,152.945,861.179,0.243456,82
67029.6,38243.6,129258,66146.7,47611.7,106883,123.357,1718.17,0.243869,83
59004.9,30435.4,141705,98358.6,66665.9,119302,291.765,509.362,0.247279,85
54035.7,32419.4,117114,34243.2,28066.8,89762.9,55.3004,241.651,0.24955,86
46612.8,25262.5,124596,48593.5,35725.2,103251,78.9038,337.494,0.250117,87
31969.9,18470.2,111677,34920.3,26493.9,95777.8,44.3333,357.332,0.252957,88
32194.9,17153.6,127810,43146.5,27217.1,105427,83.8092,198.697,0.254851,89
43091.2,28385,114500,37469.9,31298.5,92476.9,71.9472,209.079,0.261661,90
47375.9,24512.7,129273,60025,41913.3,108594,130.306,288.272,0.262424,91
52655.9,28969.3,127690,54318.3,38472.6,103782,239.369,641.224,0.271937,94
38231.4,19784.1,130926,64515.5,36602.2,117409,250.525,557.744,0.274448,95
46435,24961.9,126971,64994,48712.5,107222,52.6327,436.101,0.288957,98
38457.3,21773.6,117311,37529.5,29979.1,95884.5,68.5533,270.702,0.293319,99
60744.6,38783.1,117410,46559.7,39777.4,92489.5,57.7903,530.222,0.295063,100
22430,16072.8,105563,39470,28971.5,97063.1,471.49,3326.27,0.29577,101
41072.7,21122.7,128061,56400.8,38800,108539,142.042,268.995,0.3114,102
64230.9,35037.9,128878,70132.5,51021,107590,72.3566,528.105,0.318212,103
40501.1,22856.3,120134,45377.9,33752.2,99954,146.948,388.181,0.3221,104
54328.2,28208.9,134128,71436.5,48993.2,111560,83.167,391.302,0.327172,105
26496.7,12528.6,127378,47196.1,32196.4,107343,74.9881,188.564,0.327312,106
46486.7,25270.5,120598,48398.3,37278,100236,106.178,710.801,0.335057,107
44451.3,23058.5,134800,88302.2,58859.7,118188,171.814,430.642,0.335792,108
24163.5,15887.5,112120,48009.6,37929.4,100616,164.631,333.6,0.338082,109
29045.2,15114.3,120096,40816.3,29505.9,101167,83.167,206.485,0.338385,110
29829.3,17183.5,127103,52322.6,33793.5,111486,105.131,385.527,0.344182,111
41793.7,24403.9,117403,45759.7,36527.1,94334.2,62.2367,572.088,0.34473,112
36566.5,21300.8,126867,66259.6,44511.5,113631,225.689,375.261,0.350657,113
51106.1,29701.9,119677,48914.8,35973.6,100934,96.6938,452.646,0.356203,114
64774.4,37994.3,122202,40878,31102,95283.8,88.5934,371.974,0.361144,115
55913.1,32026.9,121896,62394.9,51289,98365.1,82.2913,252.96,0.365073,116
23444.9,14670,119723,48561.3,35746.6,104196,99.3137,338.808,0.3663,117
31310.5,16629.7,117136,46715.2,36168.5,99793.9,82.7584,274.114,0.366472,118
46050.8,23353.6,131121,56759.1,35557,112476,89.7597,423.575,0.368145,119
59981.6,35683.9,124937,46774.1,38769.7,96864.5,57.1975,1215.78,0.37214,123
39425.1,21933.5,123413,70198.4,50704.3,110849,88.6517,369.833,0.37898,124
54864.6,33498.1,118211,38402.4,31239.7,90955.2,79.6633,334.495,0.379635,125
40636.6,24425.5,115409,32829.1,25748.1,90586.2,48.2458,238.806,0.379829,126
42146.5,23598.2,128872,71846.2,49081.2,110334,180.363,314.665,0.403097,128
70163.1,38705.3,135797,77028.2,52806.9,110959,137.478,409.358,0.403615,129
34853.9,20206.2,120932,50405,38223.7,103320,99.9539,410.911,0.408822,130
73289.9,39493.4,130557,55447.7,43218.9,104701,116.515,257.669,0.411158,131
66125.5,38861.1,121414,45307.4,36097.3,97105.3,75.222,411.221,0.412528,132
31504.6,18353.1,111596,39195.1,32357,93972.5,72.9415,280.613,0.413201,133
49742,29402.2,117621,34640.3,26869,95585.9,73.5848,215.611,0.416503,135
75713.6,39670.8,133699,70767,52442,108070,157.265,1065.94,0.423881,136
34627.5,19951.1,127086,79217.6,56410,111954,223.927,1259.95,0.428259,137
44499.8,22843.5,127645,50057.5,35715.4,103886,89.4681,1001.81,0.432936,138
26934.3,14255.6,115137,63833.7,47154.5,107499,144.293,265.311,0.444557,140
36011.9,19434.9,120338,33396.5,26298.3,95737.3,105.422,159.406,0.449393,141
66160.4,37485.5,124030,62330.6,48650.3,100986,60.221,446.898,0.451486,142
35210.6,20741.1,116861,29341.7,20602.1,94143.9,11.4965,235.691,0.452106,143
52674.7,28196.4,132491,85698.2,50576.2,117056,166.758,1094.48,0.456093,144
33554.6,21013,129284,62001.8,42016.5,120091,66.0903,1207.31,0.458032,146
42641.5,21465.3,126587,61110.5,36230.2,112025,65.3196,328.86,0.460272,149
63087.2,36788,123946,45482.6,36360.6,100267,146.775,389.274,0.462868,150
36535.9,19182.8,134625,66179.7,38912.7,117650,153.752,270.542,0.474432,152
57203.3,34091.5,121434,47570.9,38753.4,94758.1,82.9335,443.714,0.47512,153
55959.6,33479.2,121112,42181.9,32550.3,95995,114.542,498.311,0.480082,155
26165.2,15892.9,118194,40849.3,30148.6,98530.2,113.091,336.599,0.481699,156
36716.6,19512.3,124566,63321.2,46560.3,109359,73.7018,341.121,0.495188,158
