"FSC-A", "FSC-H", "FSC-W", "SSC-A", "SSC-H", "SSC-W", "BB515-A", "APC-A", "Time", "Event #"
62735.1,31285.5,133365,71052.3,47157.8,114345,121.503,-10.9607,5.32545,162
52375.5,29485.3,121344,56351.6,42582.4,106593,87.6602,20.4233,5.44977,163
75086,39379,131565,66982.8,44661.6,110978,115.297,-2.38275,5.53487,164
60227,34833.7,119392,41606.5,31135.8,100202,81.0651,2.7566,5.54916,166
42834.9,23462.3,124545,66665.5,48422.9,108185,205.472,-10.6959,5.60223,168
60152.7,32837.5,126645,51101.2,36013,104301,81.7658,-2.8593,5.66747,169
62148.8,31190,135016,79834.7,55748.8,115125,163.423,-6.19515,5.91095,172
39194.8,21644.3,132258,58655.4,38042.3,115028,164.631,13.4462,6.05372,173
60853.9,33438.5,129019,51972.7,35088.5,110068,218.409,-8.6838,6.06084,174
55344,29951.2,128036,66363.4,39443.2,114947,85.3849,-8.472,6.10373,175
79273.7,41281.3,134242,64127.4,41750.8,112017,161.467,-5.24205,6.133,176
20190,12613.6,128379,43178.3,29562.7,106896,151.043,0.61882,6.13936,177
83824.3,42751.6,137965,69554.4,45251.5,115701,111.697,-4.18305,6.14748,178
72501.9,37506.4,138714,89779.4,51962.9,121713,247.186,5.68206,6.1701,180
59981.7,34575.5,128378,56315.8,41103.8,107622,82.8168,-36.1119,6.2318,181
32005.3,16542.2,120717,33549.4,25965.2,97401.9,12.8003,13.5025,6.2944,184
47377.7,25023.3,142610,56229.9,39564.9,110132,168.942,2.92537,6.37193,186
57094.3,31851.4,121719,43227.6,31029.4,103205,173.823,-0.8472,6.43172,189
50833.2,27376.7,123882,38727,27220.3,100694,101.06,1.63145,6.44109,190
43735.9,21518.6,136428,74290.2,39183.3,123670,222.619,-0.4236,6.46999,191
61098.7,34468.1,127886,61514.9,45975.6,111242,148.852,28.8638,6.47556,192
44228.4,24104.4,124370,53647.3,36988,107698,93.7814,-18.5854,6.50772,193
53070.7,26728.7,130871,69702.2,45713.5,116910,205.872,2.58782,6.51464,194
52683.1,27065.3,129049,52183.2,37201,110354,91.1589,-29.1225,6.5837,195
52161.3,28072.8,125154,43865.4,30292.7,104287,93.1404,1.51893,6.61609,196
48964,28032.5,124336,48998.1,36243.5,105153,164.688,0.731334,6.73296,198
56608.9,30683.6,130537,79588.5,49440.8,120910,174.34,34.9977,6.87281,199
47488,26213.3,121894,41080.2,29773.5,101234,34.3154,10.5768,6.88445,200
69074.3,38916.9,125357,48202.1,34786.5,104243,179.79,33.6471,6.99507,201
41344.7,23952.7,124328,68077.6,48525,110290,167.907,-12.0197,7.05461,203
70978.3,37648.8,135070,86608.9,55481.8,118376,182.828,48.223,7.07721,205
77964.2,37402.2,144351,77705,48945.5,121131,155.653,-13.2905,7.13661,207
55709.5,30219.7,125231,57739.5,41803.2,107508,93.9562,-47.655,7.16726,208
56803.8,35778.1,120737,52605.1,37562.6,104780,133.604,-32.9879,7.27488,212
61401.6,34723.3,123984,45051.4,31943.3,104213,142.562,-16.5734,7.2936,213
43890.8,23684.8,127686,83245.9,53506.1,114861,115.18,-6.30105,7.29365,214
45192,23228,127463,50756.4,33452.4,116282,147.986,-4.28895,7.31144,215
70674.8,37065.6,129356,50168.4,32916.3,107282,176.234,136.878,7.35987,216
83795.3,43823.2,134901,69977.7,45352.1,114680,171.641,-1.059,7.39862,218
72745.2,36899.8,134742,69865,46884,114443,202.162,47.7728,7.43468,219
69058.7,39028,126380,49848,32884.1,107600,109.548,-10.0075,7.5057,221
52202.7,27308.9,128882,53624.1,37344.7,111103,68.2021,11.8146,7.52487,222
38742.2,22710.6,115175,43153.5,33010.4,97462.4,90.3427,-28.1694,7.55747,224
39384.5,22383.3,120420,53145.5,39112.6,104164,138.865,-33.6232,7.55748,225
72247.1,41139.7,127756,59523.2,44241,107363,150.293,2.36279,7.68674,226
26908.1,12904.6,132238,40096.4,22924.4,114976,81.2987,-4.7655,7.69835,227
65125.4,33705.5,136028,70306.2,45682.8,117147,191.188,-24.3041,7.70601,228
72670.2,42599.5,128760,62066.2,45984.3,105474,185.406,9.50781,7.7769,229
66191.4,35046.9,134345,70606.6,50461.5,110853,111.175,-0.79425,7.85244,232
59223.1,33888.7,120256,40790.7,29108.6,99798.4,106.468,-0.26475,7.94578,235
65363.2,37937.3,124694,47361.7,33898.8,104002,154.443,40.7942,7.99399,237
29741.9,16729,114743,27833,19778.4,96566,43.6812,-4.71255,8.00947,238
62347.1,34160.4,127974,50248.6,34968.2,108124,112.046,-4.8714,8.09031,240
70505.8,37389.4,132709,58162.6,39268.1,109947,158.647,0.0562562,8.13919,241
40578.5,21568.6,131662,57918.7,37066.8,111666,80.8315,-0.47655,8.16659,242
76897.3,40904.7,133612,61997.4,44690.2,107967,104.143,-2.4357,8.34677,247
66952,37210.2,124038,48421.4,35310.5,102668,207.697,90.7474,8.38433,248
47408,24842,128924,80437.1,55175.1,114882,223.415,34.66,8.43737,250
40460.9,21488.9,131031,72274.8,47963.3,111839,103.503,-0.05295,8.48274,253
76533.3,43642.4,129691,60081.7,42020.5,107741,152.08,29.8205,8.59297,255
65619,36277.6,129025,57140.1,40036.9,107563,103.27,-55.3327,8.62248,257
60061.6,34168.9,122774,52022.3,36878.4,104520,115.819,-43.9485,8.64182,258
57418.2,31689.7,124529,56358,37500,115080,202.219,-17.7912,8.67458,259
52885.7,32415.3,116728,46914.9,35859.8,99710.8,156.862,21.7174,8.72699,262
47226.3,27456.2,121861,54486.5,39170.8,104753,163.826,16.2595,8.82181,264
61141.2,32730.6,125415,47169,34455.4,102835,92.7908,-36.9591,8.85237,265
52670.2,28505.7,132761,52862.3,34216.6,115411,159.453,0.393794,8.85298,266
27308,14561.7,120533,29673,20566.1,101243,56.1304,1.91273,8.88374,268
49657.6,23651.6,138317,79933.7,41347.4,123868,120.691,-16.4145,8.9708,270
48787.4,24371,132263,74175.5,43126.2,128332,209.351,-22.5037,9.01087,271
64016,32351.2,130640,51116.6,32378.1,112010,164.573,-5.03025,9.04351,272
74904,37063.3,136199,77773.6,49085.8,120452,127.296,3.93802,9.08142,274
38110.3,19873.2,128587,50948.5,34118.6,108224,147.756,0.562564,9.11717,276
70644.9,37313.6,132247,67411.5,47487.1,114759,176.52,27.8509,9.2003,277
33934.3,17039.3,131135,47662.3,32651.8,109741,139.789,-19.5915,9.21256,278
51821.1,28329.1,128158,35611.1,25203.1,100338,100.245,-9.37215,9.35934,280
77487.9,40205.3,136239,79660.5,51163.8,117466,159.338,26.3316,9.40047,282
60045.8,31840.6,128419,59906.8,40388,110066,121.734,-8.472,9.4433,283
60607.9,34396.1,133614,86811.6,60513.5,118204,222.733,-17.7383,9.57155,285
27252.6,13809.9,120702,55694.2,36566.7,110147,127.644,0.112512,9.59681,286
41193.5,20155.3,129019,85628.6,54668.4,120629,244.582,-8.73675,9.5983,287
68071.7,38110.9,127199,51829.3,37085.2,103735,188.555,21.8863,9.59838,288
60523.6,36565.9,121549,41720.5,30786.6,101150,98.1494,-7.04235,9.60105,289
60820.2,32947.5,125424,56811.8,39422.6,108053,104.143,-5.45385,9.64577,291
65496.5,34974.7,131530,74632.9,53423.3,113457,217.441,-22.3449,9.66415,292
67954.8,33271.3,136444,91518.3,57335.3,119893,122.024,28.2448,9.6729,293
72063.6,36559.1,135607,75674.4,44099.3,120492,166.298,-20.121,9.70593,294
45232.7,24412.2,124708,88012,63094.8,110803,129.901,17.835,9.75344,295
74698.4,37627.1,135087,57044,39096.3,111483,201.99,-3.3888,9.78312,296
44462.5,23507.2,122250,60565.5,41119.3,110667,121.618,-7.99545,9.96214,298
56897.1,29183.8,131610,70091.4,46092.4,117678,157.323,-4.81845,10.0319,301
21973.8,12100.3,117446,40881.2,30424.3,105843,127.007,-12.3903,10.0331,302
20941.7,9385.29,140291,26521.7,13940.8,118061,139.327,1.23765,10.1677,303
68180.2,36334.9,135039,68041.5,47829.8,112101,138.171,-14.0847,10.2985,306
70022.9,37344.4,127653,63321.9,42546.9,111763,114.6,-17.9501,10.4577,310
59280.5,31197.6,131856,64120.2,48716.1,108321,193.762,-49.4024,10.4867,311
62771.8,34310.7,132369,42972.9,29201.1,104216,77.4431,-8.472,10.5057,312
47228.6,25129,126776,62499.8,42400.6,114973,179.847,-7.2012,10.5095,313
61029.3,31306.1,131477,54289.5,36398.3,109692,141.695,-4.3419,10.5579,314
65713.3,35781.5,127697,56070.5,40615.7,103357,86.3768,-0.3177,10.6629,316
52406.9,30041.1,121472,39478.5,29083.5,99973.9,103.503,21.4361,11.0886,320
66405.1,37702.5,130864,68349.4,48531.2,109252,182.828,8.38257,11.2868,324
26568.4,14847.5,113958,49747.5,34548,106700,146.602,-19.5385,11.3269,326
71000.8,38732.4,128366,52758.8,35756.8,107173,115.529,-3.12405,11.4925,329
52582.9,27240.7,128441,59283.8,40676.3,108074,134.414,-6.2481,11.4941,330
72053.6,38845.6,136218,80889.3,52897.4,118444,252.448,-0.79425,11.5825,332
67384.5,37206.6,127166,53862.3,38921.1,104477,110.361,13.5025,11.7162,334
49324,26648.8,131636,81980.4,51714.3,130547,198.563,4.05054,12.1046,340
76052.1,42680.1,131449,66219.7,47248.6,112024,137.362,45.0151,12.1343,342
71234.5,37499.5,133541,74486,51373.6,114045,163.711,-16.4145,12.2175,344
65255.3,35575.3,127949,57804,39687.1,109497,59.9246,23.5743,12.2592,345
62945.3,32261.1,131689,60292.5,40655.6,111803,116.863,-49.9319,12.2902,347
47819.5,25232.1,127998,52278,35290.9,107694,217.327,-34.8411,12.4243,349
69893.8,40186.4,125132,49746.7,37543.3,101226,88.5351,-10.643,12.532,350
68018.1,36682.8,134188,72342.8,48674.5,111466,105.247,-12.5491,12.5434,351
56908,35390,119652,44119.6,30749.9,100129,106.468,5.11946,12.559,353
44865.4,22288.5,138354,67872.9,43157.1,117409,181.968,2.70034,12.6473,354
67481.6,33679.4,139313,83494.1,51063.5,120367,225.177,-55.121,12.6862,355
38087.5,19675.7,124562,55470,33478.1,117008,90.984,15.6968,12.7073,356
40907.5,21849.4,121889,48320.9,36552,103006,145.332,11.9271,12.7073,357
72189.1,40441.5,127419,63638.9,46827.2,104149,99.7793,1.63145,12.8644,358
81330.6,41235.7,138126,79253.9,46339.6,119383,124.226,14.1214,13.0835,360
57416.8,29466,135887,77016.6,46803.5,120739,176.061,-0.79425,13.0949,361
25256.9,13179.3,120259,58954.7,43566.1,108283,137.825,45.1276,13.1415,362
55687.1,30248.3,129361,59217.8,40594.8,109839,137.304,3.93802,13.2266,363
60916.8,32679.7,134480,86848.5,57335.7,120483,158.935,52.0501,13.2867,364
67988.4,37811.1,126721,61249,43501.7,107574,136.322,29.2577,13.3291,366
53459.8,30716.8,124154,77495.9,51982.6,112156,182.885,-1.2708,13.3311,367
63217.9,31068.1,135273,87191.8,59281.3,118058,128.917,-51.1497,13.3354,368
68255,39825.6,125050,49726.4,35883.6,104401,164.458,1.40642,13.3579,369
49079.5,28123.4,123946,63499.9,45536.6,107881,226.542,-0.4236,13.3826,370
52969.9,28075.4,131566,71649.7,51826.2,112185,190.845,-3.0711,13.3909,372
66383.1,32592.1,136201,78835.9,50541.8,117082,262.108,62.6877,13.423,373
78007.8,41449.3,134114,79152.3,56683.5,111789,219.205,-37.9651,13.6251,374
73021.4,39518.2,127484,77099.3,58682.1,107000,166.068,-13.82,13.7451,376
49469.8,28148.8,121403,44871.2,33169.7,100842,103.852,-24.0922,13.7818,377
45830.6,23210.8,134442,63026.6,39767,114236,180.478,15.4155,13.8139,379
58151.9,31880.8,127597,53784.4,37772.6,108123,67.7338,32.0151,13.8564,380
64654.9,36855,128861,66382.6,45792.9,110377,133.141,58.9167,13.9317,382
65863.7,39413.9,121455,44947.4,33819.9,100267,73.1754,-5.45385,13.9923,383
65077,35126.5,129532,66247.8,47483.9,110472,111.813,-46.3313,14.0302,384
52391.8,29632.9,125036,47515.6,33046,104172,68.4362,2.36279,14.1653,386
66475.4,36598.8,124824,47198.9,34918.8,102486,86.9019,-32.0877,14.2034,387
63039.4,32822.2,141828,94072.7,53647.6,124219,92.6743,-38.071,14.2365,388
56007.2,31842.6,124450,53806,37690.8,106101,127.122,-30.1815,14.3552,390
75250.1,38538.7,134235,60662.1,40713.5,110843,105.538,6.41344,14.3869,391
77116.4,40178.3,128635,73540.1,49542.9,111169,147.986,35.054,14.7194,395
65247,34276.8,135237,88433.7,51470.1,121286,166.988,-15.7261,14.736,396
56909.4,31489.4,126328,54263.3,38574.6,106725,154.904,20.5358,14.7592,397
46628.3,23763.1,128194,70966.8,48549.7,111527,222.676,-0.47655,14.8926,399
56641.8,32243.4,125214,75856.6,53310.3,111132,93.3735,-16.3615,14.9403,401
42824.9,23988.5,121411,51788.6,39691.1,100886,87.7186,-6.7776,15.0192,402
59974.1,32306.1,129903,62879.3,43386.3,109509,176.406,-17.7383,15.0461,403
