"FSC-A", "FSC-H", "FSC-W", "SSC-A", "SSC-H", "SSC-W", "BB515-A", "APC-A", "Time", "Event #"
59450,32084.1,126087,48446.6,34877.9,103537,62.2367,330.335,0.368594,88
46893.1,24681.7,125878,50792.4,36685.6,100422,22.1645,280.879,0.369236,89
29788.8,18875.6,117137,41885.8,30733,100518,75.5143,294.804,0.374729,90
67396,37434.1,128840,61880.3,44396.6,107639,54.2926,205.999,0.386001,94
49533.1,30589.5,115045,33158.6,26668.3,89935.2,73.7603,179.715,0.387985,95
64560.9,36347.9,127279,59893.4,43102.3,107575,95.1213,393.329,0.389421,96
74606.3,37961,134828,68781,46042.9,111446,116.225,339.492,0.391669,97
44320.3,24584.9,124790,65352,42612.9,109464,104.782,338.966,0.393889,98
43704.1,28495.2,121614,47354.6,37919.3,103479,72.5906,202.538,0.396569,99
76219.5,40215.2,133807,61078.8,42570.6,110167,186.494,641.807,0.398212,100
54215.3,28999.2,127141,67298.6,46827.4,108227,111.988,582.652,0.40012,102
38273.5,22390.8,127635,62838.2,38772.9,110758,136.842,318.785,0.409627,104
40316.1,23628.4,119890,49634,38453.4,100428,113.787,240.417,0.411224,105
23960,15645.8,104168,67249.5,52440.6,100147,156.632,820.725,0.411349,106
57397,33704.3,120002,41112.7,33421.6,96908.7,118.139,311.228,0.419621,107
45098.9,24246.2,122239,48106.6,35374.6,101091,90.5176,290.238,0.422086,108
25244.3,15309.1,117688,39586.8,28164.7,100226,114.89,322.902,0.424936,109
35046.6,19397.9,114629,29712.5,21495.9,93015.1,12.9781,173.244,0.427129,110
50557,30929.7,124616,66013.3,55323.5,98550,89.2932,729.333,0.428194,111
41961.7,23797.6,135225,94513.3,54262.2,123713,106.817,692.215,0.433493,112
38955.9,21781.9,122033,39906.6,28182.1,101462,44.1555,188.998,0.440806,114
47327.9,24109.7,128568,54162,33672.6,110845,47.7716,512.905,0.442169,115
58327.5,29787.9,132446,73379.3,46355.3,112119,104.608,533.344,0.446401,116
43526.9,26354,117799,44558.2,31823.8,101054,91.1589,357.123,0.450883,118
53101.6,28878.2,122311,35248.5,27597.1,95666.1,107.049,278.749,0.458424,119
34769.5,16891.8,128912,67453.3,49896.8,107651,179.216,525.735,0.462712,120
44150.1,22844.9,137521,68174.6,41690.1,115103,106.352,497.55,0.466952,121
23308.6,19636.1,105387,46229.6,42659.9,93588.9,126.775,314.136,0.468655,122
47081.9,24180.9,135935,73973.6,45488.8,114762,153.463,420.942,0.470462,123
33049.6,20034,125456,72545.8,52827.5,110441,164.516,523.768,0.477625,126
41757,24616.2,119607,46036.1,36336,97303.7,69.0801,196.802,0.477772,127
59528.3,37408.9,116487,43562.4,36608,90941.6,61.7032,383.861,0.481668,128
49357.3,27632.1,128401,51138.7,37261.6,106561,65.9773,276.512,0.481975,129
39587.5,22784.3,116608,36022.1,28989.1,90742.3,69.9579,252.264,0.482133,130
77487.9,40777.9,129385,73531.7,55314.2,107797,142.619,348.473,0.486771,132
34460.2,20480.5,121915,52829.8,41507.7,99637.5,55.9525,540.689,0.488808,133
40350.6,22186.2,121748,53072.4,39656.7,101139,70.309,385.736,0.495974,134
61969,31136.5,131859,61957,45579.9,108585,46.171,221.487,0.503144,137
61670,35433.4,124371,43149,30576.6,100828,84.2177,181.29,0.511434,140
41059.8,24981.2,119260,47706.3,35492.2,100435,68.1436,277.365,0.518712,144
59848.2,35074,127326,78838.9,54481.4,109585,87.9519,298.306,0.519253,145
43706.3,28569.2,113529,35103.2,28199.8,90396.7,143.428,902.268,0.526533,147
41926.8,21876.5,128345,72029.3,50437.6,110186,211.289,357.385,0.534846,148
73739,38304.2,138641,89434.6,60001.8,113967,101.234,311.757,0.542723,150
45750.4,26115.9,118455,41231.4,32377.6,95427,92.8491,165.948,0.548433,152
53952.4,33187,120972,39554.9,30641.6,96498.9,59.0353,375.627,0.555724,153
27510.3,14511.4,117608,41856.7,29170.3,103501,143.832,376.044,0.558341,154
49274.4,24885.8,128813,65308.5,46361.3,107037,129.67,1192.12,0.568222,155
28573,16672,127067,40156.5,22852.4,108049,36.8642,205.566,0.600419,157
64956.9,39300,121609,64428,50849.3,100589,149.082,655.044,0.60113,158
80680.5,40453.2,136386,66472.3,39279.7,113966,142.677,372.548,0.603009,159
55148.4,32444.8,120058,37023.7,28835.1,93622,53.4034,299.684,0.607925,160
47015.5,27182.2,117406,37080.6,30795,91350.8,55.834,171.666,0.637642,161
56338.3,30879.7,124313,42612.2,32691.3,96150.2,159.453,1558.37,0.640484,162
51067.2,25211.4,135749,85550,50901.7,120285,83.1087,210.537,0.656461,163
61841.1,32173.5,128410,56732.2,39251,107684,104.084,242.242,0.66187,164
53844.5,29184.5,129749,81375.6,54102.3,111529,162.445,536.213,0.667022,166
41955.2,21909,123879,49206.8,36908.9,100977,128.628,328.07,0.669072,167
56568.9,30840.6,128719,61615.9,42972.1,107308,76.2158,584.94,0.686337,169
