86.2,171.3
80.98042,-27.91186
75.4,123.8
71.16218,3.3036
70.40825,51.82093
67.04609,-98.99234
62.3,114.2
60.1851,-34.18997
57.52131,13.54801
56.6,-45.7
56.4,-14.1
56.2,4.3
55.4,17.9
55.3,-9.1
55,-14.6
54.6,19.6
54.6,-52.3
54.2,-30.9
54.2,-84.9
53.7,-18.8
53.5,-60
53.3,-55.7
52.5,-54.2
52.1,47.6
52,-76.7
51.5,49.4
50.98799,-7.46427
50.9,3.8
50.5,-41.5
49.4,-8.7
49.3,-41.6
49.3,-47.3
49,-5.5
48.9,-60.2
48.7,24.3
48.2,17
48,-35.9
48,-34.7
47.9,-3.9
47.9,-46.3
46.8,-5.8
46.4,-22.1
45.2,-109.2
45,5.4
44.6,40.8
44.5,-8.4
44.2,-74.3
43.9,-23.2
43.1,1.5
41.6,-30.5
41.5,-6.7
41.4,0.3
40.9,-63.6
39.3,-60.7
39.24684,-54.24413
38.5,4
38.5,-6.7
38.3,-49.3
38,-36.6
37.9,-10
37.8,-50.4
37.7,71.9
37.6,-60.5
37.4,-0.6
36.5,-8.2
36.4,-18.6
36.3,-85.2
35.9,16.8
35.6,9.3
35.5,-21.2
35.4,-57.5
35.4,82.8
35.3,-47.3
35.2,19.5
35.2,-21.3
35.2,-74.3
34.8,-11.4
34.7,-62.3
34.7,-8.5
34.7,-37.7
34.5,-29.4
34.5,1.2
34.3,-44.8
34.2,-22.7
34.1,-54.9
33.9,4.5
33.7,15.3
33.65266,-39.31245
33.40605,-17.60555
33.3,-29
33.1,-53.9
32.8,-27.1
32.56803,-55.55694
32.5,23.3
32.5,-13.1
32.2,-46.7
32.1,-12
31.9,-0.4
31.8,-12.8
31.8,106.7
31.8,32.1
31.7,82.2
31.6,-25.9
31.3,-83
30.9,-65
30.8,12.6
30.7,30.3
30.6,-32.8
30.5,-9
30.4,-23.9
30.2,-12.4
30,-82.7
29.7,-7
29.5,22.6
29.1,-65.3
29.1,17.9
28.3,-28.1
28.2,-102.8
28.2,37.3
28,26.9
27.9,-8.8
27.7,-6.5
27.6,-12.9
27.53613,-36.01092
27.5,-39.6
27.4,-53.4
27.37483,-50.40619
27.1,-19.8
27.03654,-40.67143
26.9,-61.8
26.8,-25.2
26.8,-56.4
26.8,-27.9
26.7,-22.5
26.7,26.2
26.6,-9.3
26.5,-27.9
26.5,-4.6
26.5,-13.7
26.4,-29.5
26.4,-41.5
26.34578,-84.526
26.3,-16.4
26.2,-1.9
25.6,-29.8
25.1,2.9
25,-9
25,-65.8
24.8,10.5
24.8,-71.4
24.7,-0.7
24.5,4.1
24.5,-33.2
24.5,-3.9
24.1,-5.5
24.1,40.2
24.04931,-22.58065
24,-35.1
23.82426,-58.59774
23.7,-18.5
23.7,-31.1
23.66034,-40.11469
23.5,2.3
23.3,-78.8
23.3,5.9
23.23676,69.75574
23.2,-8.4
23.00167,-54.39185
23,-36.3
