chisq,df,pvalue,binsize
430.388515347183,92.0,0.0,1
416.0151483925294,46.0,0.0,2
434.18522509483034,31.0,0.0,3
423.6314387215734,23.0,0.0,4
326.352265901203,18.0,0.0,5
336.50954221850253,15.0,0.0,6
327.63199817609717,13.0,0.0,7
61.664684541048906,11.0,4.542371923044186e-09,8
16.65251045136627,10.0,0.08241544515689381,9
