y_px,x_peak_px,prominence,used,x_fit_px,tangent_deg,y_nm,x_fit_nm
0.0000,20.9181,1528.5000,0.0000,19.8202,-32.0032,0.0000,3171.2323
1.0000,19.4162,2107.0000,1.0000,19.2124,-30.5686,160.0000,3073.9839
2.0000,18.4587,1460.0000,0.0000,18.6389,-29.0903,320.0000,2982.2215
3.0000,17.8608,1655.0000,0.0000,18.0997,-27.5684,480.0000,2895.9450
4.0000,17.5030,2215.5000,0.0000,17.5947,-26.0030,640.0000,2815.1545
5.0000,17.5291,1516.5000,0.0000,17.1241,-24.3948,800.0000,2739.8499
6.0000,16.3232,1526.5000,1.0000,16.6877,-22.7445,960.0000,2670.0313
7.0000,16.1491,2168.0000,1.0000,16.2856,-21.0535,1120.0000,2605.6986
8.0000,15.5864,1909.5000,0.0000,15.9178,-19.3231,1280.0000,2546.8519
9.0000,15.1519,2082.0000,0.0000,15.5843,-17.5553,1440.0000,2493.4912
10.0000,15.1345,2470.0000,1.0000,15.2851,-15.7524,1600.0000,2445.6164
11.0000,15.0169,2011.5000,1.0000,15.0202,-13.9168,1760.0000,2403.2276
12.0000,15.1281,2222.0000,1.0000,14.7895,-12.0517,1920.0000,2366.3247
13.0000,14.4369,1131.5000,0.0000,14.5932,-10.1602,2080.0000,2334.9078
14.0000,14.4848,1164.5000,0.0000,14.4311,-8.2462,2240.0000,2308.9768
15.0000,14.7434,1646.0000,0.0000,14.3033,-6.3134,2400.0000,2288.5318
16.0000,13.9757,1518.0000,0.0000,14.2098,-4.3661,2560.0000,2273.5727
17.0000,14.2643,1617.5000,0.0000,14.1506,-2.4086,2720.0000,2264.0996
18.0000,14.1940,1804.0000,0.0000,14.1257,-0.4455,2880.0000,2260.1125
19.0000,14.1960,1922.0000,0.0000,14.1351,1.5186,3040.0000,2261.6113
20.0000,14.2628,2131.5000,0.0000,14.1787,3.4792,3200.0000,2268.5961
21.0000,14.5192,1821.0000,1.0000,14.2567,5.4317,3360.0000,2281.0668
22.0000,14.7519,1697.0000,0.0000,14.3689,7.3716,3520.0000,2299.0235
23.0000,15.0054,1188.0000,0.0000,14.5154,9.2946,3680.0000,2322.4661
24.0000,14.4342,1637.0000,1.0000,14.6962,11.1968,3840.0000,2351.3947
25.0000,15.3716,1334.5000,0.0000,14.9113,13.0743,4000.0000,2385.8093
26.0000,15.5707,1268.0000,0.0000,15.1607,14.9237,4160.0000,2425.7098
27.0000,16.0570,1469.0000,0.0000,15.4444,16.7418,4320.0000,2471.0963
28.0000,15.9623,1839.0000,0.0000,15.7623,18.5258,4480.0000,2521.9687
29.0000,16.4015,1996.0000,0.0000,16.1145,20.2734,4640.0000,2578.3271
