y_px,x_peak_px,prominence,used,x_fit_px,tangent_deg,y_nm,x_fit_nm
0.0000,17.2220,983.0000,0.0000,16.7646,-33.0699,0.0000,2682.3381
1.0000,15.7118,1241.5000,0.0000,16.1333,-31.4489,160.0000,2581.3207
2.0000,15.7591,1713.5000,0.0000,15.5415,-29.7698,320.0000,2486.6342
3.0000,15.1195,2243.5000,1.0000,14.9892,-28.0325,480.0000,2398.2787
4.0000,15.5274,2028.5000,0.0000,14.4766,-26.2373,640.0000,2316.2540
5.0000,12.6870,1587.0000,0.0000,14.0035,-24.3849,800.0000,2240.5603
6.0000,13.3270,1590.0000,0.0000,13.5700,-22.4765,960.0000,2171.1974
7.0000,13.2091,1375.5000,0.0000,13.1760,-20.5141,1120.0000,2108.1655
8.0000,12.6275,1499.5000,0.0000,12.8217,-18.5001,1280.0000,2051.4644
9.0000,11.9718,2003.0000,0.0000,12.5068,-16.4376,1440.0000,2001.0942
10.0000,11.9429,2453.0000,1.0000,12.2316,-14.3304,1600.0000,1957.0550
11.0000,11.9618,1702.0000,0.0000,11.9959,-12.1828,1760.0000,1919.3467
12.0000,12.3763,1731.5000,0.0000,11.7998,-9.9999,1920.0000,1887.9692
13.0000,12.2519,2096.5000,0.0000,11.6433,-7.7873,2080.0000,1862.9227
14.0000,12.8609,1260.0000,0.0000,11.5263,-5.5511,2240.0000,1844.2070
15.0000,11.9327,1342.5000,0.0000,11.4489,-3.2978,2400.0000,1831.8223
16.0000,11.1756,1882.0000,0.0000,11.4111,-1.0342,2560.0000,1825.7685
17.0000,11.3673,2414.5000,0.0000,11.4128,1.2326,2720.0000,1826.0455
18.0000,11.2753,1124.0000,0.0000,11.4541,3.4955,2880.0000,1832.6535
19.0000,11.5119,1628.0000,1.0000,11.5350,5.7476,3040.0000,1845.5924
20.0000,12.0114,2162.5000,1.0000,11.6554,7.9820,3200.0000,1864.8621
21.0000,12.1899,2003.0000,0.0000,11.8154,10.1922,3360.0000,1890.4628
22.0000,11.7141,1678.5000,0.0000,12.0150,12.3722,3520.0000,1922.3944
23.0000,12.2944,2059.5000,1.0000,12.2541,14.5165,3680.0000,1960.6569
24.0000,12.9329,1561.0000,0.0000,12.5328,16.6200,3840.0000,2005.2503
25.0000,13.1406,1626.5000,0.0000,12.8511,18.6784,4000.0000,2056.1745
26.0000,12.9923,1844.5000,1.0000,13.2089,20.6880,4160.0000,2113.4297
27.0000,13.3658,1478.5000,0.0000,13.6063,22.6458,4320.0000,2177.0158
28.0000,13.6985,1970.0000,0.0000,14.0433,24.5493,4480.0000,2246.9328
29.0000,13.3688,2657.0000,0.0000,14.5199,26.3967,4640.0000,2323.1807
