y_px,x_peak_px,prominence,used,x_fit_px,tangent_deg,y_nm,x_fit_nm
0.0000,11.9541,683.5000,1.0000,11.7364,19.9811,0.0000,1877.8165
1.0000,11.9164,726.0000,0.0000,12.0861,18.5656,160.0000,1933.7738
2.0000,12.4535,1161.5000,0.0000,12.4081,17.1263,320.0000,1985.2948
3.0000,13.0420,961.0000,0.0000,12.7024,15.6644,480.0000,2032.3795
4.0000,12.9385,1792.0000,1.0000,12.9689,14.1812,640.0000,2075.0280
5.0000,13.0494,1594.5000,1.0000,13.2078,12.6784,800.0000,2113.2402
6.0000,13.3935,1206.0000,0.0000,13.4189,11.1576,960.0000,2147.0161
7.0000,13.4323,1724.0000,1.0000,13.6022,9.6207,1120.0000,2176.3558
8.0000,13.7742,956.0000,0.0000,13.7579,8.0698,1280.0000,2201.2592
9.0000,14.1092,1160.0000,1.0000,13.8858,6.5068,1440.0000,2221.7263
10.0000,14.1740,1458.5000,1.0000,13.9860,4.9341,1600.0000,2237.7571
11.0000,14.1453,1628.5000,1.0000,14.0584,3.3539,1760.0000,2249.3517
12.0000,13.9732,1288.0000,1.0000,14.1032,1.7685,1920.0000,2256.5100
13.0000,14.1328,948.0000,0.0000,14.1202,0.1804,2080.0000,2259.2320
14.0000,13.7910,1102.5000,0.0000,14.1095,-1.4079,2240.0000,2257.5178
15.0000,13.8849,775.0000,0.0000,14.0710,-2.9941,2400.0000,2251.3673
16.0000,13.7068,1174.0000,1.0000,14.0049,-4.5757,2560.0000,2240.7805
17.0000,14.2024,1792.5000,1.0000,13.9110,-6.1503,2720.0000,2225.7574
18.0000,14.7271,946.0000,0.0000,13.7894,-7.7157,2880.0000,2206.2981
19.0000,13.9005,1264.5000,0.0000,13.6400,-9.2696,3040.0000,2182.4025
20.0000,13.7450,1120.0000,0.0000,13.4629,-10.8098,3200.0000,2154.0706
21.0000,13.0697,1945.0000,1.0000,13.2581,-12.3344,3360.0000,2121.3025
22.0000,13.1859,960.0000,0.0000,13.0256,-13.8415,3520.0000,2084.0981
23.0000,12.8262,1050.0000,1.0000,12.7654,-15.3292,3680.0000,2042.4574
24.0000,12.4696,924.0000,1.0000,12.4774,-16.7961,3840.0000,1996.3804
25.0000,12.2182,1435.5000,1.0000,12.1617,-18.2407,4000.0000,1945.8672
26.0000,10.0000,986.0000,1.0000,11.8182,-19.6617,4160.0000,1890.9177
27.0000,11.4706,731.0000,0.0000,11.4471,-21.0579,4320.0000,1831.5319
28.0000,10.8333,947.5000,0.0000,11.0482,-22.4284,4480.0000,1767.7099
29.0000,11.5844,381.0000,0.0000,10.6216,-23.7724,4640.0000,1699.4516
