y_px,x_peak_px,prominence,used,x_fit_px,tangent_deg,y_nm,x_fit_nm
0.0000,8.8319,792.0000,0.0000,10.8679,25.1593,0.0000,1738.8561
1.0000,9.9648,842.0000,0.0000,11.3220,23.6806,160.0000,1811.5170
2.0000,9.8142,962.0000,0.0000,11.7450,22.1677,320.0000,1879.1970
3.0000,10.4025,523.5000,0.0000,12.1369,20.6215,480.0000,1941.8962
4.0000,11.9138,1028.0000,0.0000,12.4976,19.0433,640.0000,1999.6144
5.0000,13.0000,1249.0000,1.0000,12.8272,17.4345,800.0000,2052.3517
6.0000,12.3272,986.0000,0.0000,13.1257,15.7969,960.0000,2100.1082
7.0000,12.3883,1120.0000,0.0000,13.3930,14.1323,1120.0000,2142.8838
8.0000,12.6862,1194.5000,0.0000,13.6292,12.4430,1280.0000,2180.6785
9.0000,12.9197,905.0000,0.0000,13.8343,10.7315,1440.0000,2213.4923
10.0000,13.7102,1800.5000,1.0000,14.0083,9.0003,1600.0000,2241.3252
11.0000,13.4656,1395.5000,0.0000,14.1511,7.2525,1760.0000,2264.1772
12.0000,13.8103,1115.5000,0.0000,14.2628,5.4909,1920.0000,2282.0483
13.0000,13.2976,1037.0000,0.0000,14.3434,3.7189,2080.0000,2294.9386
14.0000,14.1832,1289.0000,1.0000,14.3928,1.9398,2240.0000,2302.8479
15.0000,14.7166,1788.0000,1.0000,14.4111,0.1569,2400.0000,2305.7764
16.0000,14.1727,1706.0000,0.0000,14.3983,-1.6264,2560.0000,2303.7240
17.0000,14.5135,1469.5000,1.0000,14.3543,-3.4064,2720.0000,2296.6907
18.0000,14.1151,1369.0000,0.0000,14.2792,-5.1799,2880.0000,2284.6765
19.0000,13.9277,1445.0000,0.0000,14.1730,-6.9435,3040.0000,2267.6815
20.0000,13.6944,1729.5000,0.0000,14.0357,-8.6940,3200.0000,2245.7055
21.0000,13.7951,2123.0000,1.0000,13.8672,-10.4283,3360.0000,2218.7486
22.0000,13.5389,2591.0000,0.0000,13.6676,-12.1435,3520.0000,2186.8109
23.0000,13.4344,3271.5000,1.0000,13.4368,-13.8369,3680.0000,2149.8923
24.0000,13.0769,2790.5000,0.0000,13.1750,-15.5060,3840.0000,2107.9928
25.0000,12.8688,2151.5000,1.0000,12.8820,-17.1485,4000.0000,2061.1124
26.0000,12.7084,1537.0000,0.0000,12.5578,-18.7625,4160.0000,2009.2511
27.0000,11.9255,1230.5000,0.0000,12.2026,-20.3462,4320.0000,1952.4089
28.0000,10.9097,1274.0000,0.0000,11.8162,-21.8981,4480.0000,1890.5859
29.0000,10.3539,2386.5000,0.0000,11.3986,-23.4170,4640.0000,1823.7819
