y_px,x_peak_px,prominence,used,x_fit_px,tangent_deg,y_nm,x_fit_nm
0.0000,11.6720,1993.0000,0.0000,12.1852,6.4415,0.0000,1949.6293
1.0000,12.0693,2887.0000,1.0000,12.2921,5.7678,160.0000,1966.7421
2.0000,12.1075,2749.0000,0.0000,12.3872,5.0924,320.0000,1981.9519
3.0000,12.0789,1687.5000,0.0000,12.4704,4.4156,480.0000,1995.2586
4.0000,12.6962,1984.5000,1.0000,12.5416,3.7376,640.0000,2006.6622
5.0000,12.8309,2491.0000,1.0000,12.6010,3.0585,800.0000,2016.1628
6.0000,12.8552,2161.5000,1.0000,12.6485,2.3785,960.0000,2023.7603
7.0000,12.3351,1942.5000,0.0000,12.6841,1.6979,1120.0000,2029.4547
8.0000,12.3081,2546.0000,0.0000,12.7078,1.0168,1280.0000,2033.2461
9.0000,12.5708,3457.0000,1.0000,12.7196,0.3354,1440.0000,2035.1344
10.0000,12.7033,2581.0000,1.0000,12.7195,-0.3460,1600.0000,2035.1196
11.0000,12.6297,2380.0000,1.0000,12.7075,-1.0274,1760.0000,2033.2018
12.0000,12.8718,2494.0000,0.0000,12.6836,-1.7085,1920.0000,2029.3808
13.0000,12.7994,1562.0000,0.0000,12.6479,-2.3891,2080.0000,2023.6569
14.0000,12.7358,2635.0000,1.0000,12.6002,-3.0690,2240.0000,2016.0298
15.0000,12.5978,1588.5000,0.0000,12.5406,-3.7481,2400.0000,2006.4997
16.0000,12.0290,1765.0000,0.0000,12.4692,-4.4261,2560.0000,1995.0665
17.0000,11.8833,1702.0000,0.0000,12.3858,-5.1029,2720.0000,1981.7303
18.0000,12.1243,2133.5000,1.0000,12.2906,-5.7783,2880.0000,1966.4910
19.0000,12.0625,2474.0000,0.0000,12.1834,-6.4520,3040.0000,1949.3486
20.0000,12.0135,2892.0000,1.0000,12.0644,-7.1240,3200.0000,1930.3031
21.0000,11.8111,1576.5000,0.0000,11.9335,-7.7939,3360.0000,1909.3546
22.0000,11.3982,2110.0000,0.0000,11.7906,-8.4618,3520.0000,1886.5030
23.0000,11.7425,1501.0000,0.0000,11.6359,-9.1273,3680.0000,1861.7484
24.0000,11.8490,1704.5000,0.0000,11.4693,-9.7904,3840.0000,1835.0907
25.0000,11.5607,1366.5000,0.0000,11.2908,-10.4509,4000.0000,1806.5299
26.0000,11.2726,1180.0000,1.0000,11.1004,-11.1085,4160.0000,1776.0660
27.0000,10.8512,1965.5000,0.0000,10.8981,-11.7632,4320.0000,1743.6991
28.0000,10.4167,1886.0000,0.0000,10.6839,-12.4148,4480.0000,1709.4291
29.0000,10.9067,1675.5000,0.0000,10.4579,-13.0631,4640.0000,1673.2561
