y_px,x_peak_px,prominence,used,x_fit_px,tangent_deg,y_nm,x_fit_nm
0.0000,13.2429,949.5000,0.0000,12.8555,-21.3462,0.0000,2056.8856
1.0000,12.1453,942.0000,0.0000,12.4789,-19.9195,160.0000,1996.6301
2.0000,12.1804,565.0000,1.0000,12.1308,-18.4666,320.0000,1940.9238
3.0000,12.1832,558.5000,0.0000,11.8110,-16.9887,480.0000,1889.7668
4.0000,11.4272,1534.5000,0.0000,11.5197,-15.4871,640.0000,1843.1592
5.0000,11.2938,1204.5000,0.0000,11.2569,-13.9633,800.0000,1801.1008
6.0000,11.0119,2305.0000,0.0000,11.0224,-12.4192,960.0000,1763.5917
7.0000,10.8330,3254.0000,1.0000,10.8164,-10.8565,1120.0000,1730.6319
8.0000,10.7210,2963.0000,1.0000,10.6389,-9.2773,1280.0000,1702.2214
9.0000,10.4487,3392.0000,1.0000,10.4898,-7.6837,1440.0000,1678.3602
10.0000,10.3902,2060.0000,0.0000,10.3691,-6.0781,1600.0000,1659.0483
11.0000,10.1825,2233.0000,1.0000,10.2768,-4.4629,1760.0000,1644.2857
12.0000,10.1751,3086.0000,1.0000,10.2130,-2.8405,1920.0000,1634.0724
13.0000,10.2105,2533.0000,1.0000,10.1776,-1.2136,2080.0000,1628.4084
14.0000,10.1437,1658.5000,1.0000,10.1706,0.4154,2240.0000,1627.2936
15.0000,10.0645,1233.5000,0.0000,10.1921,2.0436,2400.0000,1630.7282
16.0000,10.1985,2196.5000,1.0000,10.2420,3.6685,2560.0000,1638.7120
17.0000,10.2786,3765.0000,1.0000,10.3203,5.2876,2720.0000,1651.2452
18.0000,10.6059,2815.5000,1.0000,10.4270,6.8982,2880.0000,1668.3276
19.0000,10.3114,1914.5000,1.0000,10.5622,8.4980,3040.0000,1689.9594
20.0000,10.9151,1070.0000,0.0000,10.7259,10.0845,3200.0000,1716.1404
21.0000,10.8715,2598.5000,1.0000,10.9179,11.6555,3360.0000,1746.8707
22.0000,11.2766,3288.0000,1.0000,11.1384,13.2090,3520.0000,1782.1504
23.0000,11.3561,2416.5000,1.0000,11.3874,14.7430,3680.0000,1821.9793
24.0000,11.7721,2278.5000,1.0000,11.6647,16.2556,3840.0000,1866.3575
25.0000,12.0972,2009.5000,0.0000,11.9705,17.7454,4000.0000,1915.2850
26.0000,12.4621,2508.0000,0.0000,12.3048,19.2107,4160.0000,1968.7618
27.0000,12.7353,1861.5000,1.0000,12.6674,20.6504,4320.0000,2026.7879
28.0000,12.6415,1296.5000,0.0000,13.0585,22.0633,4480.0000,2089.3632
29.0000,13.2156,1130.5000,1.0000,13.4780,23.4486,4640.0000,2156.4879
