y_px,x_peak_px,prominence,used,x_fit_px,tangent_deg,y_nm,x_fit_nm
0.0000,13.7945,2619.0000,0.0000,14.0884,-20.1139,0.0000,2254.1494
1.0000,13.4326,2581.0000,0.0000,13.7363,-18.6803,160.0000,2197.8037
2.0000,13.1699,1966.0000,0.0000,13.4122,-17.2221,320.0000,2145.9578
3.0000,13.1234,2229.0000,0.0000,13.1163,-15.7405,480.0000,2098.6119
4.0000,12.9886,2145.0000,0.0000,12.8485,-14.2370,640.0000,2055.7660
5.0000,12.4587,2178.5000,0.0000,12.6089,-12.7131,800.0000,2017.4199
6.0000,12.4182,2149.0000,0.0000,12.3973,-11.1708,960.0000,1983.5737
7.0000,12.1154,2480.0000,0.0000,12.2139,-9.6120,1120.0000,1954.2275
8.0000,11.9632,1960.0000,1.0000,12.0586,-8.0386,1280.0000,1929.3811
9.0000,11.6318,1568.0000,0.0000,11.9315,-6.4529,1440.0000,1909.0347
10.0000,11.7530,841.0000,0.0000,11.8324,-4.8572,1600.0000,1893.1881
11.0000,11.6949,1807.0000,0.0000,11.7615,-3.2540,1760.0000,1881.8415
12.0000,11.7371,1402.0000,0.0000,11.7187,-1.6456,1920.0000,1874.9948
13.0000,10.8577,1377.0000,0.0000,11.7041,-0.0347,2080.0000,1872.6480
14.0000,11.9488,1734.5000,1.0000,11.7175,1.5763,2240.0000,1874.8011
15.0000,11.9702,1839.5000,1.0000,11.7591,3.1849,2400.0000,1881.4541
16.0000,11.8458,1530.5000,0.0000,11.8288,4.7884,2560.0000,1892.6071
17.0000,12.0431,1403.0000,0.0000,11.9266,6.3844,2720.0000,1908.2599
18.0000,12.0341,3149.0000,1.0000,12.0526,7.9706,2880.0000,1928.4127
19.0000,12.0533,2614.0000,1.0000,12.2067,9.5445,3040.0000,1953.0653
20.0000,11.9997,2853.0000,1.0000,12.3889,11.1041,3200.0000,1982.2179
21.0000,12.8689,2417.0000,1.0000,12.5992,12.6471,3360.0000,2015.8704
22.0000,13.0919,2327.0000,0.0000,12.8376,14.1718,3520.0000,2054.0228
23.0000,13.2214,2710.0000,1.0000,13.1042,15.6762,3680.0000,2096.6751
24.0000,13.2947,1695.5000,0.0000,13.3989,17.1588,3840.0000,2143.8273
25.0000,14.1770,1450.5000,0.0000,13.7217,18.6181,4000.0000,2195.4794
26.0000,14.0712,1829.0000,1.0000,14.0727,20.0527,4160.0000,2251.6314
27.0000,14.1346,2114.5000,0.0000,14.4518,21.4616,4320.0000,2312.2834
28.0000,15.3229,2295.5000,0.0000,14.8590,22.8438,4480.0000,2377.4352
29.0000,15.4384,2352.0000,0.0000,15.2943,24.1985,4640.0000,2447.0870
