Group_Length
2
2
2
4
2
4
2
2
2
4
2
8
16
6
4
2
4
6
2
2
2
2
2
2
2
3
2
1
2
4
10
2
2
4
2
2
6
2
2
2
4
2
2
4
7
2
1
4
2
4
2
1
2
5
2
2
4
4
2
6
1
2
1
6
7
2
1
4
2
2
6
2
4
2
8
4
2
2
4
2
2
2
2
2
2
2
2
2
2
2
2
6
2
6
2
8
6
2
6
4
2
4
4
2
4
2
2
2
2
3
2
1
2
4
3
2
1
2
3
2
1
2
6
2
2
1
2
1
2
4
2
2
2
2
2
2
2
2
2
2
3
2
1
2
2
4
2
2
2
2
2
2
2
2
2
2
6
2
2
2
8
2
2
2
1
2
1
2
6
2
8
4
4
2
2
2
6
2
4
4
2
2
2
4
8
2
2
2
2
2
2
2
2
6
2
4
1
2
1
2
2
4
2
2
2
2
2
2
2
4
2
10
2
2
4
2
4
2
2
2
6
2
2
6
4
4
2
5
2
1
1
2
3
1
2
7
2
6
2
2
2
2
4
4
2
2
4
4
2
2
4
2
2
6
4
4
2
4
2
8
2
2
2
9
2
1
2
4
2
4
2
2
14
2
2
2
2
2
4
4
4
8
1
2
1
2
2
2
4
2
2
2
2
2
2
2
4
2
2
2
2
2
2
1
2
1
2
4
2
3
2
3
2
2
4
2
2
2
2
2
4
2
2
4
2
6
2
2
2
2
6
2
2
6
2
2
2
4
4
2
2
2
2
4
2
6
2
4
2
6
2
4
4
12
2
2
2
4
2
2
4
2
16
2
8
2
4
12
2
2
2
2
10
2
4
2
14
2
6
3
2
5
14
2
10
4
2
2
4
4
1
2
1
2
4
2
2
4
2
4
2
4
2
4
2
4
6
2
2
4
3
2
1
2
2
10
2
4
4
2
2
4
2
4
2
2
2
4
2
2
2
2
2
4
2
4
4
4
2
2
2
2
16
2
2
2
2
2
4
2
2
26
2
4
4
4
6
2
2
2
2
2
2
2
1
2
1
4
4
2
3
2
1
2
4
4
2
1
2
1
2
2
2
2
2
4
2
2
2
2
4
4
2
4
2
4
2
2
2
2
1
2
1
2
4
2
2
8
2
2
2
2
4
2
2
2
2
2
2
2
2
2
2
4
2
2
2
2
2
4
4
2
4
2
2
2
2
2
2
2
2
2
2
2
4
2
2
2
2
2
2
6
2
2
4
2
2
2
2
4
10
2
2
2
2
2
4
2
6
2
2
6
2
4
4
2
4
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
6
2
4
2
4
7
2
3
2
2
2
6
2
6
2
2
2
2
2
4
2
2
4
2
2
2
2
2
2
2
4
2
2
3
2
1
2
6
2
1
2
3
2
6
2
2
2
4
