9.8,-17.1
9.1,-25.4
-3,-14.6
8,-8
10.4,-22.1
3.4,-17.9
,
58.3,48.6
61.4,46.7
39.1,33.6
38.9,35.6
53.9,53.3
,
2.6,-21.4
-5.5,-12.4
-6.1,-12.8
8.6,-18.6
10.6,10.4
6.1,8.3
7.2,9.3
-7.2,-19.8
,
-17,-9.2
-18.5,6.6
7.1,-17.7
8,-26
-4.4,-2.9
,
11.3,-1.1
4.4,3.1
14.4,16.6
6.5,-4.3
17.7,2.5
1.8,-5.6
18,-26.1
1.7,26.3
,
-19.4,-10.5
-6.9,-12.7
0.5,-10.5
6.5,-4.3
,
6.5,-4.3
17.7,2.5
18,-26.1
1.7,-26.3
9.7,7
6.4,-14
,
5.5,-23.9
7.3,2.1
-9.3,-8.9
-18.5,18
,
-6.9,-12.7
0.5,-10.5
-19.4,-10.5
-31.2,-17.7
,
6.5,-4.3
17.7,2.5
1.8,-5.6
18,-26.1
33.2,3.4
1.7,26.3
31.7,-12.5
,
6.4,-14
-13.9,-20
-25.3,-28.3
-9.3,-8.9
,
19.8,14.7
10.5,-8.3
24.3,-14.9
10,-2.5
25,7.5
-4.2,-15.1
27.7,27.2
,
-3,21.9
31.9,30.4
28.4,25.2
33.2,0.4
5.6,-6.9
3.6,-16
18.7,21.3
25.1,29.9
20.8,29.3
,
27.5,9.7
33.1,0.4
24.1,0.9
11.8,6.3
15.5,10
,
10.376,0.296
-15.568,4.112
-14.296,19.256
13.448,14.312
-1.288,-19.888
-18.16,-15.952
-12.016,-24.04
1.472,-15.496
-2.776,7.616
-2.152,-19
18.248,1.376
12.32,-4.216
,
1.208,-10.624
16.856,-16.096
-0.88,7.688
13.616,-12.4
,
10.34,-15.51
28.34,12.78
1.09,9.13
11.29,24.48
9.62,21.65
-12.05,9.48
-16.04,13.18
-0.81,-12.83
8.18,-7.04
-13.84,18.24
7.93,2.63
13.46,18.72
16.09,14.74
-11.61,24.05
1.18,-21.54
15.44,-26.56
2.17,-5
-5.16,-11.47
-10.67,-19.58
26.36,-17.9
18.63,-15.78
-18.74,-13.82
21.8,9.29
-3.87,-17.45
4.92,-27.43
-11.4,-11.78
-8.24,-21.74
-12.71,-22.98
,
-7.1,-29.6
0.1,-13.3
18,-7.5
-1.9,-35.5
-23.8,-34.2
,
30.2,14
5,19
18.5,55.1
14,17.2
34,44
27,0.2
,
13,19.2
-2.2,-6.9
-11.2,-1.1
10.8,24.2
-11,8.6
-16.5,24.7
-11.7,4.7
,
-29.4,-11.9
-21.6,-9.8
15.7,-7.8
-7.3,-39
-24.8,15.3
0.9,-11.4
-7.9,-21.4
,
13.6,2.1
-7.5,-5.4
-4.2,-3.5
-27.5,-3.5
-28.5,11.8
3.7,21.2
-5.7,10.3
,
-19.4,-22.9
-27.2,-33.8
-17.9,-15.2
24.8,-33.3
11.6,-31
,
-1.3,-18.1
27.1,7.8
-2.3,8.8
-13.8,12.4
-1.8,-13.9
-15.6,21.9
21.6,-8.6
,
58.3,48.6
61.4,46.7
39.1,33.6
65.8,15.2
67.8,7.7
38.9,35.6
53.9,53.3
,
2.9,25
-0.6,26.5
3.6,22.3
26.7,-2
-4.5,8.9
8.7,1
,
-64.4,-29
-63.4,-10
-50.3,-48.7
-41,-21.7
-46.4,-7.6
-40.1,-72.2
,
9.8,-17.1
9.1,-25.4
-3,-14.6
8,-8
10.4,-22.1
3.4,-17.9
,
2.9,25
-0.6,26.5
3.6,22.3
-4.5,8.9
8.7,1
,
4.1,2.3
-2.2,2.3
-3.3,-12.9
27.6,-25
11.6,-19.8
-3.5,8.7
12.7,-6.4
,
1.8,6.1
19.2,19.5
6.4,29.5
1.2,31.5
3.7,-6.2
1.4,-2.1
1.2,29.3
,
17.1,21.5
19.3,29.6
12.5,-11
8.6,-19.5
13.3,-16.5
24.3,1.8
,
-17.3,5.1
-31.9,15.8
-11.2,-21.2
-1.7,14.4
-15.8,-1.2
-19.3,-5.3
,
-2,-24.5
4.6,-9.1
-0.1,19.7
23.8,1.3
,
11.2,7.9
12.5,17.2
16.2,18.6
21.4,25
11.4,-9.7
,
-25,13.2
-1.2,27.1
-5.5,16.5
-7,16.8
5.6,0.4
-8.1,6.6
-11.1,11.4
-23.4,10.5
,
-5.9,-15.4
-7.8,15.2
3.5,-17.9
-2.1,-1.3
18.8,0.5
,
17.5,-15.4
17.1,-17.7
29,-21.5
11.7,-15.6
14.4,-29
18.3,-29.4
,
-16.9,-27.8
-16.5,-11.3
-10.2,-4.4
-15.5,-13.6
-16.5,-2.1
,
22.7,31.8
20.2,19
8.3,21.5
-7,19.7
11.8,12
33.5,9.6
21.6,18
,
-17.4,-25.7
-18.6,-4.7
18.2,6.3
-12.2,6.9
13.5,17.8
-0.2,0.1
,
20.8,29.3
27.8,17.9
27,12.1
27.9,27.8
23.4,27.5
33.3,30.8
,
-1.8,0.4
2.9,-2.1
10.5,-9.5
7.8,9
-9,-1.2
4.9,-7.1
,
15,-19.1
-8.4,-22.7
3.7,-14.6
9.2,-16.7
13.3,-21.9
,
25.1,-12.5
27.7,27.2
6.1,-21.5
14.5,24.4
28.7,-19.7
,
19.9,-26
20.7,-25.1
16.7,20.1
25.3,-23.2
8.7,-15.8
31.5,-26.8
-6.1,25.9
-13.8,-20.7
,
28.4,-2.1
22.1,26.1
5.2,2.2
20,4
-10.5,15.6
25.2,21.8
21.5,25.3
31.6,12.2
,
-1.2,-17.2
-5.8,-16.3
5.5,-23.9
-12.8,-30.2
,
7.2,-19.8
17.7,-9.6
-2.9,0.6
15,-9.2
-18.5,6.6
7.1,-17.7
8,-26
27.9,-30.8
-1,24.6
-4.4,-2.9
,
9.8,-17.1
-2.9,14.5
