52.8,-27.1
91.1,-36.9
36.8,28.5
90.4,-6.2
111.5,-15.6
,
89,-58.9
89,-58.9
98.6,44.4
98.6,44.4
129.1,-41
123,-67.9
21.3,-74.3
70.3,-32.2
,
46.2,-5.6
23.6,-21.2
52.9,-4.8
60.5,84.8
50.2,-91.6
,
77.6,67.7
30.6,64.1
124.1,50.4
120.3,1.1
20.3,-138.8
,
73.6,7.3
50.8,-97.6
133.4,-5.3
95.4,-120.6
83.4,-136.7
30.6,22.9
30.6,22.9
21.9,-103.6
,
97.3,-83.6
134.1,-66.8
59.6,-109.5
78.9,-52.8
78.9,-52.8
106.7,-62.6
,
100.6,-29.1
102.9,-27.3
38.8,-93.5
57.9,-10.4
,
159.4,33.8
26.4,-49.1
26.4,-49.1
187.1,16.7
173.2,104.4
111.3,-35.1
89.7,123.5
162.3,105.7
,
95.2,-43
80.7,97.8
96.6,-137
80.6,12.3
80.6,12.3
134.7,-29.3
95.5,54.4
,
51.5,-58.5
128.6,88.7
40,23
40,23
81.3,97.6
73.5,-22
73.5,-22
55.7,-65.6
92.1,68.6
,
62.1,2.5
17.5,-33.8
17.5,-33.8
42.1,40.2
42.1,40.2
77.9,112
61.9,29
61.9,29
62.4,-25.1
165.9,36.6
,
84.40056,-32.47328
4.58087,-65.77533
14.76484,7.36787
6.61092,-37.0494
42.90207,-38.94743
24.00183,-33.00512
,
23.38468,104.24381
18.15255,25.75522
26.89996,82.32298
29.07254,67.27872
22.54276,7.43089
49.25939,-64.28188
,
36.75373,-23.69496
62.46626,-23.85431
68.795,-85.80419
50.47613,33.39677
6.97406,-43.4672
,
150.2,16.7
163,106.8
195.1,198.9
252.5,232.8
174.5,164.7
122.7,24.4
,
148.9,-126.3
157.9,-51
178.8,-46.5
26.7,-81.6
84.5,-108.5
166.3,-117.4
103.2,-108
,
89,82.2
60,42.4
55,32.7
112,48.6
,
39.8,90
45,145
99.6,120
47.4,120
68.4,100
3.8,70
47.9,56
24.8,120
98.4,100
53.6,100
29.7,40
56.6,78
,
136,120.7
43,45.6
28.3,124.1
30.5,24.6
78.6,51
110.1,98.1
,
161.3,8
58.9,89
76.6,110
8.6,8
35.5,100
,
168.2,8.9
117.6,125
55.3,130
16.3,10.3
53.5,27.5
38.2,51.6
,
73.2,14
69.7,21
84.8,80
83.6,119.6
108,45.1
56.1,91.3
80.5,36
87.9,29.4
139.7,34.8
19.6,39.5
30.7,103.1
35.9,193.8
24.2,148.6
,
99.1,-12.5
97.3,11.7
89.6,-23.4
49.4,-23.7
14.7,66.8
23.3,-7.1
40.1,-78.6
51.1,7.5
57,98.6
78.2,140.2
52.1,24.4
92.4,-11.7
,
122.8,-31
87.1,53.4
77,15.5
98.7,24.6
101.4,16.5
53.1,-56.6
168.8,44.6
145.5,125.1
158.7,77.8
70.9,26.9
,
86.7,-82.6
51.8,-69.2
57,-87.7
136,-23.2
35,-54.8
53.5,-97.2
0.6,-120.3
,
165.3,40.3
63.8,145.1
92.9,104.6
195,109
166.1,166
90.6,115
66.5,128.9
187,120.9
,
154.6,101.4
135.4,55.2
133.5,56.4
108.9,-5.3
46.8,34.6
179.6,127.1
150.1,96.6
185.2,17.9
,
107.6,88.9
187.4,-4.4
139.1,-0.8
96.1,22.4
119.2,117.2
160.8,81.7
153.2,72.5
114,13.7
101.8,138.7
,
48,-74.2
36.7,-41.9
94.7,27.3
66.8,45.4
8.9,-31.3
19.4,-3.8
90.9,124.5
59.4,27.8
,
86.7,-82.6
51.8,-69.2
57,-87.7
136,-23.2
35,-54.8
53.5,-97.2
,
50.22098,-48.56166
22.28832,-48.43444
35.42714,26.57123
67.55808,-36.13126
49.85824,15.40238
84.40056,-32.47328
,
58.81509,28.55
7.78774,30.25
10.80451,80.2541
18.06868,70.1254
84.98951,80.21255
67.41837,120.254
15.68534,90.22
-1.57584,16.44922
,
36.69105,55.11761
41.40284,19.92658
40.84261,-76.74263
80.382,-69.35094
59.04555,24.31232
93.40683,100.125
79.15423,21.08104
84.59478,-20.27027
-8.49629,-98.25733
,
75.36564,-170.77634
47.94344,42.11629
80.39895,-50.16989
109.14254,-36.92579
27.19952,-19.37411
43.65724,-43.28317
7.41883,-4.26039
20.04042,33.34806
,
86.84988,41.06437
14.99457,58.11794
97.55786,-23.76339
46.23123,88.32508
56.19852,13.67635
17.50641,173.99447
43.30308,53.49642
141.32313,92.17871
,
53.72931,45.68049
96.23578,39.46276
69.9789,-22.35517
116.32308,10.94433
154.25744,61.0761
203.48447,112.1055
136.5833,85.00359
104.94192,54.12847
133.42309,14.2367
94.55919,-13.68458
89.22971,-116.94046
129.62937,28.63141
130.55435,50.6165
179.8954,-18.89055
,
148.1,74.2
99.1,40.5
77.2,-46.9
80.7,73.1
129.2,75.5
,
116.2,-97.1
103.8,-97.9
183,40.7
171.7,-14.3
196.4,-112.6
191.5,-41
199.1,-116.4
,
81,53.4
90.3,60.7
80.6,77.7
122.7,49.7
62.5,60.1
31.5,18.5
110.8,41.5
114.2,82.9
,
78.7,-92.4
49.2,-44.7
80.8,22
74.3,-50.3
88.4,-101.2
55.8,-72.5
83.4,-69.1
172,-107.6
130.3,-53.1
107.7,-94.5
104,-71.2
,
109.6,-53.3
57.7,-76.8
88.7,-78.6
60.6,79.3
125.7,-18.9
96.5,-96.5
163.7,-28.2
95.2,30.3
,
177,30.8
117.8,-7.2
141.5,33.1
177.5,-83.6
145.4,9
148.4,-22.7
151.5,-32.5
144.8,-107.7
165.9,-36
,
47.1,109.2
104.3,80.2
105.9,69.4
55,185.4
15.8,135.1
40,50.7
,
125.5,-65.2
90.2,-13.5
70.9,-125.1
7.2,-156.6
97.5,-136.7
41.4,-113.9
,
164.2,79.4
134.8,92.7
47.9,79.6
90.4,148.9
96.6,3.1
109.7,18.7
29.2,15.5
