-10.9,-39.3
-15.8,-22.5
-11,-34.7
-26.1,-26.4
,
-25.1,43.8
-19.9,46.7
-17.7,12.9
-20.9,36.5
-13.9,44.7
-19.2,16.2
,
-7,21.3
-3.7,25.5
-9.9,29.4
-1.6,35.5
0,38.6
-1.5,16.1
-7.6,43.4
,
-0.3,-50.4
13.6,-54.8
9.9,-63.6
-5.2,-64.2
11.8,-60.7
17.9,-57.2
3.8,-83.2
10.5,-88.8
14.9,-43.5
6.2,-38.8
,
2.8,34.7
-6.8,11
-13.2,32.4
-16.1,6.5
-29.1,16.7
-27.6,6.4
-13.3,11.7
,
0.5,29.7
-15.1,16.9
0.1,16.7
-10.7,15.2
-16,17.3
-24,-0.9
-14.3,26.2
-14.5,13.7
-0.5,18.8
12.8,42.9
-10,4.9
8.6,4.3
0.7,33.2
,
-8.1,31.5
-18.9,38
-13.3,30.9
-16.3,39.3
-10.2,39.1
0.8,19.7
2.2,22.9
-19.6,34.1
9.6,28.4
9.8,24.1
-5.6,32.1
13.6,21
12.4,34.8
,
-4.84149,17.32552
-20.49256,55.40089
-24.45221,43.49916
-10.20953,42.46183
-13.07447,21.26862
-25.29009,38.42492
-19.84951,38.43308
,
-5.42254,-2.11445
12.07774,-13.34433
6.57193,-9.08099
-5.97027,0.333
0.35096,16.1055
-2.86118,-13.77847
-2.56029,-23.21084
10.79508,-25.77875
0.37289,11.29723
,
-28.52917,2.00163
-8.75285,-26.73767
0.41204,-34.37015
-31.37294,-28.39645
-15.87488,-3.71406
-5.84149,-26.67448
-21.49256,11.40089
-25.45221,-0.50084
-11.20953,-1.53817
-14.07447,-22.73138
-26.29009,-5.57508
-20.84951,-5.56692
-6.53344,-16.31633
-12.23354,-44.24837
,
-2.91186,20.40055
-2.94474,27.61296
-12.21785,14.27694
-12.16207,21.20275
-19.43026,14.24406
,
-15.1,-17.7
-15.4,-9.4
10.4,-28.7
-22.6,21.4
-10.3,-30.2
-29.5,9.5
,
-9.1,-50.8
-3.3,-45.1
-0.9,-19.9
-13,-8.7
-20.5,-50.4
,
26.1,33
-1.1,58.1
10.6,16
13,47.3
10.6,34.5
8.9,14
,
18.90026,13.58795
-25.22687,19.26828
-13.89131,13.24014
-27.0508,25.6083
-0.62365,13.55408
,
10.04202,2.68864
2.43091,-2.64987
10.05629,-37.12618
6.83085,-20.36894
19.24548,-27.35272
-13.42061,-20.46161
,
-17.03697,-15.09359
-9.6792,-8.26368
-14.42939,4.78062
7.34089,-2.95244
-17.59801,-12.92992
,
-4.03528,-8.44196
-2.30687,7.43388
16.98182,7.35232
2.73732,-2.83264
5.70094,12.26509
,
-17.128,-7.696
-23.536,-27.736
18.824,3.512
-5.944,-16.6
,
-16.288,5.48
18.704,-4.144
-19.576,17.6
-9.544,17.648
9.248,16.856
18.416,9.536
,
-0.808,-7.408
-10.48,-7.576
-0.856,-17.704
-18.928,24.752
-12.568,13.784
-19.816,7.376
,
12.416,7.952
15.152,-9.712
3.968,19.592
15.896,-13.576
-5.824,15.152
-5.464,21.656
,
18.288,-8.776
1.824,22.736
-15.336,20.528
-10.488,8.216
-0.6,27.224
,
9.504,-0.88
-15.936,10.712
7.8,-20.296
19.896,6.872
2.544,16.904
,
