3959,4365,4881,4445,4561,4649,4239,5062,5652,5691,5568,4769,5029,3874,4118,3852,4073,3936,3644,3550,3776,3786,3739,3511,3566,3510,3467,3140,3288,2981
4529,4566,4222,4606,4699,4765,4720,5029,4883,5648,5463,5775,4983,4302,4355,4142,3508,3778,3531,3646,3482,3358,3549,3462,3069,3184,3709,3691,3358,3430
3736,3994,3743,4181,4481,4658,5013,4910,4800,5566,5817,4456,5141,4594,4428,4335,3862,4353,3776,3144,3738,3044,3696,3920,3843,3962,3043,3101,3721,3179
4572,4015,4013,4442,4783,4340,4932,4606,4497,5057,5356,5134,4993,5031,4672,4182,3923,4235,3693,3568,3535,3624,3737,3406,3578,3458,3295,3693,3373,3314
3877,4143,3936,3733,4395,4699,4627,5112,4860,4778,4692,5444,5720,5218,4592,4661,4181,3922,3498,3840,3584,3779,3476,3653,3666,3421,3554,3496,3295,3202
4311,3722,4264,4195,4424,4931,4995,5158,4418,4631,5096,5730,5826,6029,4549,4929,4409,4388,3710,3629,3845,3393,3768,4046,3428,3375,3574,3986,3378,3097
3973,3822,3539,4152,4369,4396,4227,4467,5434,5464,4653,5974,6435,5793,5618,5429,4902,4339,4192,4119,4109,3717,3539,3818,3608,3918,3347,3725,3655,3348
3803,3350,4269,4350,4036,4393,4150,4655,4714,5178,5987,5758,6588,6554,5997,4669,4781,4585,4525,4107,4008,3996,4281,4411,3706,3709,3324,3896,3780,3475
3384,4036,3341,3905,4296,4006,4229,4121,4726,4969,5590,5989,5867,6604,6337,5084,5229,4758,4669,4731,4061,3897,3975,3695,3681,3869,4179,3924,3320,3247
4240,3624,4104,3845,3799,3878,4275,4610,5065,4913,5362,5701,6068,6389,6046,5585,5383,4750,4834,4886,4254,3957,3775,4093,4479,3515,3952,3624,3366,3613
3716,3602,4085,4000,4036,4215,3932,4505,4565,4888,4968,5847,5473,6538,7021,5596,4884,4431,4494,4502,4399,4358,4182,4434,3872,3794,4048,3957,3566,3308
3451,3567,3652,3593,3650,3849,4283,4406,4336,4623,5367,5312,6209,5869,6735,6178,4731,5075,4284,4609,4000,4402,4594,4533,4443,3688,3174,3821,3469,3392
3322,3469,3565,3923,3507,4008,4105,4321,4374,4761,4820,5292,5395,6257,6459,5395,5434,4826,4694,4701,3890,4084,4329,3664,3986,3606,3224,3430,3531,3477
3853,3462,3680,3498,3674,4379,4121,4214,4130,4168,4342,5443,6066,6457,6225,5885,5397,4426,4627,4443,4566,3955,4196,4321,3777,3669,3507,3804,3072,3180
3752,3409,3716,3231,3750,3812,4229,4265,3517,4350,4894,5128,5593,6492,6338,6382,5102,5247,5159,4412,3999,3646,4047,3369,3670,3673,3464,3313,2807,2932
3355,3613,3554,3551,4017,3930,3570,4074,4244,4724,4357,4769,5175,5309,6649,6760,5593,4740,4504,4056,4033,4082,3600,3721,3506,3609,3600,3147,3220,3142
3655,3463,3731,3384,4006,3500,3677,4326,4251,4136,4232,4914,5107,5493,6761,5999,5333,5003,4137,3673,3932,3858,4091,3700,3299,3343,3273,2827,3205,2970
3382,3682,3626,3690,3970,3823,4105,3433,4050,4200,4812,5070,5299,5803,6363,6789,5340,5354,4204,4050,3628,3616,3784,3640,3428,2895,3160,3233,2935,3074
3364,3738,3478,3559,3476,3436,3652,3851,4029,4289,4889,5110,5552,6700,6479,6464,5642,5077,3865,3841,3832,3381,3565,3277,3305,2923,3305,3148,3183,3090
3508,3295,3533,3679,3784,3744,3266,3758,3474,4103,4327,5458,5702,6344,6927,6347,5506,4383,4514,3829,4274,3866,3142,3212,3392,3278,3363,2976,3036,2685
2973,3693,3283,3482,3699,3801,3530,3738,4185,4175,4839,5213,6092,6672,6952,6565,5232,4677,4220,3959,3643,3175,3698,2928,3376,3372,3349,3196,3026,2963
3688,3455,3657,3359,3550,3730,3523,3740,3936,4193,4633,5225,5930,7042,7460,6589,5337,4844,3662,3841,3657,4002,3241,2887,3160,3267,3077,3004,2915,2367
3516,3200,3721,3310,3685,3151,3778,3547,3886,4705,4850,5638,6657,7658,8229,6652,4751,4064,4062,3719,3793,3564,3441,3149,3644,3270,3470,3228,2706,2953
3363,3416,3597,3350,3375,4012,3615,3908,3914,4328,4437,4855,6426,8161,8184,5608,4970,3981,3829,3521,3618,3477,3115,3584,3326,2857,3071,2925,3067,2576
3072,3721,3200,3844,3127,3669,3823,4183,3846,4131,4987,5760,6791,8164,7525,5816,4561,4051,3958,3375,3553,3306,3138,3304,3345,3112,3132,2591,2884,2451
3079,3426,3416,3225,3769,3449,4128,3907,3810,4419,4717,5261,6484,6938,6207,4856,4684,3823,3584,3781,3353,3358,3451,3265,3182,3304,2953,2811,2766,3005
3178,3534,3169,3600,3592,3981,4163,3902,4698,4437,5581,5308,6134,6540,5515,4693,4038,3616,3032,3452,3027,3186,3300,3641,3592,3323,3116,3135,2517,3014
3162,3658,3389,3379,3817,3884,3887,4712,5170,4893,5201,6155,5845,6387,5143,4358,3881,3716,4158,3210,3333,3187,3028,3131,3514,3126,2823,3279,2726,2494
3809,3472,3420,4131,3573,3950,4346,4416,4568,5211,6460,6445,6069,5515,5161,3822,4091,3435,3343,3425,3562,2877,2929,3063,3420,2987,2889,2628,2897,3216
3434,3641,3883,3529,4103,3767,4097,4937,4951,6284,7363,6412,6108,5002,4704,3714,3298,3916,3200,3294,3383,3027,2833,2615,3009,3003,2351,2853,2635,2717
